fetched_date,referrer,count,uniques
2026-05-13,github.com,16,9
2026-05-13,claude.ai,4,1
2026-05-13,Google,2,2
2026-05-14,github.com,18,11
2026-05-14,claude.ai,4,1
2026-05-14,Google,2,2
2026-05-15,github.com,18,11
2026-05-15,claude.ai,4,1
2026-05-15,Google,3,3
2026-05-16,github.com,20,12
2026-05-16,claude.ai,4,1
2026-05-16,Google,3,3
2026-05-17,github.com,20,12
2026-05-17,claude.ai,4,1
2026-05-17,Google,3,3
2026-05-18,github.com,21,13
2026-05-18,claude.ai,4,1
2026-05-18,Google,3,3
2026-05-19,github.com,21,13
2026-05-19,claude.ai,4,1
2026-05-19,Google,3,3
2026-05-20,github.com,19,12
2026-05-20,Google,2,2
2026-05-21,github.com,9,7
2026-05-21,Google,2,2
2026-05-22,github.com,8,6
2026-05-22,Google,3,3
2026-05-23,github.com,7,6
2026-05-23,Google,3,3
2026-05-24,github.com,7,6
2026-05-24,Google,3,3
2026-05-25,github.com,7,6
2026-05-25,Google,3,3
2026-05-26,github.com,5,4
2026-05-26,Google,3,3
2026-05-27,github.com,5,4
2026-05-27,Google,2,2
2026-05-28,github.com,3,2
2026-05-28,Google,2,2
2026-05-29,github.com,6,3
2026-05-29,Google,1,1
2026-05-30,github.com,6,3
2026-05-30,Google,1,1
2026-05-31,github.com,8,4
2026-05-31,Google,1,1
2026-06-01,github.com,7,3
2026-06-01,Google,1,1
2026-06-02,github.com,7,3
2026-06-02,Google,1,1
2026-06-04,github.com,9,4
2026-06-04,Google,1,1
2026-06-05,github.com,10,4
2026-06-06,github.com,10,4
2026-06-07,github.com,11,5
2026-06-07,Google,1,1
2026-06-08,github.com,11,5
2026-06-08,Google,1,1
2026-06-09,github.com,11,5
2026-06-09,Google,1,1
2026-06-10,github.com,11,5
2026-06-10,Google,1,1
2026-06-11,github.com,11,5
2026-06-11,Google,1,1
2026-06-12,github.com,11,5
2026-06-12,Google,1,1
2026-06-13,github.com,11,5
2026-06-13,Google,1,1
2026-06-14,github.com,9,5
2026-06-14,Google,2,1
2026-06-14,isometric.com,1,1
2026-06-15,github.com,9,5
2026-06-15,Google,2,1
2026-06-15,isometric.com,1,1
2026-06-16,github.com,10,6
2026-06-16,Google,4,3
2026-06-16,isometric.com,1,1
2026-06-17,github.com,8,5
2026-06-17,Google,4,3
2026-06-17,isometric.com,1,1
2026-06-18,github.com,8,5
2026-06-18,Google,4,3
2026-06-18,isometric.com,1,1
2026-06-19,github.com,12,7
2026-06-19,Google,6,5
2026-06-19,isometric.com,1,1
2026-06-20,github.com,12,7
2026-06-20,Google,5,5
2026-06-20,isometric.com,1,1
2026-06-21,github.com,12,7
2026-06-21,Google,5,5
2026-06-21,c-star.readthedocs.io,1,1
2026-06-21,isometric.com,1,1
2026-06-22,github.com,12,7
2026-06-22,Google,5,5
2026-06-22,c-star.readthedocs.io,1,1
2026-06-22,isometric.com,1,1
2026-06-23,github.com,12,7
2026-06-23,Google,5,5
2026-06-23,c-star.readthedocs.io,1,1
2026-06-23,isometric.com,1,1
2026-06-24,github.com,12,7
2026-06-24,Google,5,5
2026-06-24,c-star.readthedocs.io,1,1
2026-06-24,isometric.com,1,1
2026-06-25,github.com,12,7
2026-06-25,Google,6,6
2026-06-25,c-star.readthedocs.io,1,1
2026-06-25,isometric.com,1,1
2026-06-26,github.com,12,7
2026-06-26,Google,6,6
2026-06-26,c-star.readthedocs.io,1,1
2026-06-26,isometric.com,1,1
2026-06-28,Google,10,8
2026-06-28,github.com,9,8
2026-06-28,c-star.readthedocs.io,1,1
2026-06-29,Google,10,8
2026-06-29,github.com,9,8
2026-06-29,c-star.readthedocs.io,1,1
2026-06-30,Google,10,8
2026-06-30,github.com,9,8
2026-06-30,c-star.readthedocs.io,1,1
2026-07-01,github.com,12,10
2026-07-01,Google,8,6
2026-07-01,c-star.readthedocs.io,1,1
2026-07-02,github.com,15,12
2026-07-02,Google,8,6
2026-07-02,c-star.readthedocs.io,1,1
2026-07-03,github.com,13,11
2026-07-03,Google,6,4
2026-07-03,c-star.readthedocs.io,2,2
2026-07-04,github.com,12,10
2026-07-04,Google,6,4
2026-07-04,c-star.readthedocs.io,2,2
2026-07-05,github.com,12,10
2026-07-05,Google,6,4
2026-07-05,c-star.readthedocs.io,1,1
2026-07-07,github.com,12,10
2026-07-07,Google,6,4
2026-07-07,c-star.readthedocs.io,1,1
2026-07-09,github.com,18,12
2026-07-09,Google,6,4
2026-07-09,c-star.readthedocs.io,1,1
2026-07-10,github.com,25,14
2026-07-10,Google,6,4
2026-07-10,c-star.readthedocs.io,1,1
2026-07-11,github.com,23,12
2026-07-11,Google,3,3
2026-07-11,c-star.readthedocs.io,1,1
