date,clones,unique_cloners
2026-04-29,36,16
2026-04-30,511,56
2026-05-01,426,56
2026-05-02,201,18
2026-05-03,15,7
2026-05-04,166,49
2026-05-05,194,47
2026-05-06,6,4
2026-05-07,57,23
2026-05-08,8,5
2026-05-09,4,4
2026-05-10,0,0
2026-05-11,33,17
2026-05-12,300,44
2026-05-13,55,26
2026-05-14,269,27
2026-05-15,1088,81
2026-05-16,33,3
2026-05-17,0,0
2026-05-18,2,2
2026-05-19,4,4
2026-05-20,3,2
2026-05-21,132,32
2026-05-22,39,15
2026-05-23,2,2
2026-05-24,53,3
2026-05-25,48,6
2026-05-26,31,7
2026-05-27,24,12
2026-05-28,74,17
2026-05-29,12,7
2026-05-30,118,27
2026-05-31,70,12
2026-06-01,47,17
2026-06-02,3,3
2026-06-03,3,2
2026-06-04,1,1
2026-06-05,26,9
2026-06-06,19,5
2026-06-07,0,0
2026-06-08,53,17
2026-06-09,22,9
2026-06-10,132,36
2026-06-11,104,28
2026-06-12,22,6
2026-06-13,2,2
2026-06-14,6,3
2026-06-15,93,13
2026-06-16,149,42
2026-06-17,31,15
2026-06-18,143,13
2026-06-19,14,7
2026-06-20,31,9
2026-06-21,35,9
2026-06-22,23,5
2026-06-23,146,11
2026-06-24,159,13
2026-06-25,15,4
2026-06-26,162,12
2026-06-27,0,0
