fetched_date,referrer,count,uniques
2026-05-13,github.com,28,8
2026-05-14,github.com,33,8
2026-05-15,github.com,30,8
2026-05-16,github.com,33,9
2026-05-17,github.com,33,9
2026-05-18,github.com,33,9
2026-05-19,github.com,39,7
2026-05-20,github.com,38,7
2026-05-21,github.com,34,4
2026-05-22,github.com,33,3
2026-05-23,github.com,32,3
2026-05-24,github.com,32,3
2026-05-25,github.com,32,3
2026-05-26,github.com,32,3
2026-05-27,github.com,23,3
2026-05-28,github.com,22,4
2026-05-29,github.com,43,4
2026-05-30,github.com,43,4
2026-05-31,github.com,43,5
2026-06-01,github.com,43,5
2026-06-02,github.com,34,5
2026-06-04,github.com,34,6
2026-06-05,github.com,34,6
2026-06-06,github.com,63,7
2026-06-07,github.com,63,7
2026-06-08,github.com,63,7
2026-06-09,github.com,63,7
2026-06-10,github.com,70,8
2026-06-11,github.com,80,8
