fetched_date,stars,forks,watchers,open_issues
2026-05-13,0,8,1,7
2026-05-14,0,8,1,8
2026-05-15,0,8,1,8
2026-05-16,0,8,1,7
2026-05-17,0,8,1,7
2026-05-18,0,8,1,7
2026-05-19,0,8,1,7
2026-05-20,0,8,1,7
2026-05-21,0,8,1,7
2026-05-22,0,8,1,5
2026-05-23,0,8,1,5
2026-05-24,0,8,1,5
2026-05-25,0,8,1,5
2026-05-26,0,8,1,5
2026-05-27,0,8,1,6
2026-05-28,0,8,1,6
2026-05-29,0,8,1,7
2026-05-30,0,8,1,7
2026-05-31,0,8,1,6
2026-06-01,0,8,1,6
2026-06-02,0,8,1,6
2026-06-04,0,8,1,6
2026-06-05,0,8,1,6
2026-06-06,0,8,1,7
2026-06-07,0,8,1,7
2026-06-08,0,8,1,8
2026-06-09,0,8,1,8
2026-06-10,0,8,1,8
2026-06-11,0,8,1,8
2026-06-12,0,8,1,7
2026-06-13,0,8,1,7
2026-06-14,0,8,1,7
2026-06-15,0,8,1,7
2026-06-16,0,8,1,7
2026-06-17,0,8,1,7
2026-06-18,0,8,1,7
2026-06-19,0,8,1,7
2026-06-20,0,8,1,7
2026-06-21,0,8,1,7
2026-06-22,0,8,1,7
2026-06-23,0,8,1,7
2026-06-24,0,8,1,7
2026-06-25,0,8,1,7
2026-06-26,0,8,1,7
2026-06-28,0,8,1,7
2026-06-29,0,8,1,7
2026-06-30,0,8,1,7
2026-07-01,0,8,1,7
2026-07-02,0,8,1,7
2026-07-03,0,8,1,5
2026-07-04,0,8,1,5
2026-07-05,0,8,1,5
2026-07-07,0,8,1,5
2026-07-09,1,8,1,5
2026-07-10,1,8,1,6
2026-07-11,1,8,1,6
2026-07-12,1,8,1,6
2026-07-13,1,8,1,6
2026-07-14,1,8,1,6
2026-07-15,1,8,1,6
2026-07-16,1,8,1,6
2026-07-17,1,8,1,6
