date,clones,unique_cloners
2026-04-29,98,34
2026-04-30,279,81
2026-05-01,206,69
2026-05-02,241,72
2026-05-03,41,31
2026-05-04,126,49
2026-05-05,77,24
2026-05-06,124,41
2026-05-07,531,129
2026-05-08,167,73
2026-05-09,39,34
2026-05-10,23,17
2026-05-11,86,36
2026-05-12,79,42
2026-05-13,257,74
2026-05-14,69,47
2026-05-15,88,49
2026-05-16,23,13
2026-05-17,28,23
2026-05-18,49,37
2026-05-19,67,28
2026-05-20,93,41
2026-05-21,178,50
2026-05-22,94,40
2026-05-23,32,30
2026-05-24,20,19
2026-05-25,74,27
2026-05-26,25,21
2026-05-27,71,40
2026-05-28,77,36
2026-05-29,23,20
2026-05-30,102,41
2026-05-31,39,22
2026-06-01,42,21
2026-06-02,166,63
2026-06-03,109,51
2026-06-04,151,59
2026-06-05,108,43
2026-06-06,279,70
2026-06-07,30,22
2026-06-08,207,68
2026-06-09,166,49
2026-06-10,352,104
2026-06-11,87,54
2026-06-12,71,34
2026-06-13,41,37
2026-06-14,83,39
2026-06-15,35,24
2026-06-16,243,65
2026-06-17,232,58
2026-06-18,224,55
2026-06-19,141,41
2026-06-20,57,19
2026-06-21,209,45
2026-06-22,321,66
2026-06-23,611,112
2026-06-24,432,72
2026-06-25,200,37
2026-06-26,769,41
2026-06-27,1172,20
2026-06-28,43,29
2026-06-29,147,39
2026-06-30,118,36
2026-07-01,98,39
2026-07-02,244,71
2026-07-03,89,56
2026-07-04,56,42
2026-07-05,47,34
2026-07-06,9,9
2026-07-07,79,36
2026-07-08,177,15
2026-07-09,304,67
2026-07-10,124,39
2026-07-11,26,13
2026-07-12,15,9
2026-07-13,57,24
2026-07-14,60,12
2026-07-15,109,39
