fetched_date,stars,forks,watchers,open_issues
2026-05-13,33,21,5,72
2026-05-14,33,21,5,71
2026-05-15,33,21,5,71
2026-05-16,33,21,5,72
2026-05-17,33,21,5,72
2026-05-18,33,21,5,72
2026-05-19,33,21,5,72
2026-05-20,33,21,5,72
2026-05-21,34,21,5,73
2026-05-22,34,22,5,74
2026-05-23,34,22,5,74
2026-05-24,34,22,5,75
2026-05-25,34,22,5,75
2026-05-26,34,22,5,75
2026-05-27,34,22,5,75
2026-05-28,34,22,5,75
2026-05-29,34,22,5,74
2026-05-30,34,22,5,73
2026-05-31,34,22,5,74
2026-06-01,34,22,5,74
2026-06-02,34,23,5,74
2026-06-04,34,23,5,75
2026-06-05,34,23,5,74
2026-06-06,34,23,5,74
2026-06-07,34,23,5,74
2026-06-08,34,23,5,75
