fetched_date,version,downloads
2026-05-14,1.4.1,1218
2026-05-14,1.4.2,1213
2026-05-14,1.5.0,1216
2026-05-14,1.6.0,1220
2026-05-14,1.6.1,1210
2026-05-14,1.6.2,1205
2026-05-14,1.7.0,1202
2026-05-14,2.0.0,1141
2026-05-14,2.1.0,1097
2026-05-14,2.2.0,1089
2026-05-14,2.2.1,1113
2026-05-14,2.3.0,1056
2026-05-14,2.4.0,815
2026-05-14,2.5.0,2135
2026-05-14,2.6.0,733
2026-05-14,2.6.1,747
2026-05-14,2.6.2,819
2026-05-14,2.7.0,1886
2026-05-14,3.0.0,554
2026-05-14,3.1.0,541
2026-05-14,3.1.2,493
2026-05-14,3.2.0,329
2026-05-14,3.3.0,330
2026-05-14,3.4.0,240
2026-05-14,3.5.0,336
2026-05-14,3.6.0,422
